sk_ship_code,SK code,Ship type no,Description,English,cargo_type,cargo_subtype,SIVAK_ID,SIVAK_code,Allowed chamber,Note
:0,,0,:  VAARTUIGTYPEONBEKEND (Onbekend),Type onbekend,,,,,,
:40,,40,:  SLEEPBOOTLOSVAREND (Binnenvaart),SINGLE TUGBOAT,,,39,sleepboot,commercial,
:41,,41,:  SLEEPBOOTSLEEPSCHEPEN (Binnenvaart),TUG BELONGING TO ONE OR MORE TOWS,,,39,sleepboot,commercial,
:42,,42,:  SLEEPBOOTASSISTEREND (Binnenvaart),"TUG ASSISTING VSL,LINKED COMB.",,,39,sleepboot,commercial,
:43,,43,:  DUWBOOTLOSVAREND (Binnenvaart),SINGLE PUSHBOAT,,,39,sleepboot,commercial,Assumed to have similar characteristics with tug boat
:44,,44,:  PASSAGIERSSCHIPBINNENVAART (Binnenvaart),PASSENGER SHIP,,,37,passagiersschip binnnenvaart,commercial,
:45,,45,:  DIENSTVAARTUIG (Binnenvaart),SERVICE VESSEL,,,39,sleepboot,commercial,
:46,,46,:  WERKVAARTUIG (Binnenvaart),MAINTENANCE CRAFT,,,39,sleepboot,commercial,
:47,,47,:  GESLEEPTOBJECT (Binnenvaart),TOWED OBJECT N.O.S,,,39,sleepboot,commercial,
:48,,48,:  VISSERSVAARTUIGBINNVAART (Binnenvaart),FISHING BOAT,,,39,sleepboot,commercial,
:49,,49,":  OVERIGEBINNENV/BIJZ,TRANSPORT (Binnenvaart)",OTHER FLOATING OBJECTS N.O.S.,,,39,sleepboot,commercial,
:50,,50,:  ZEE-VRACHTSCHIP (Zeevaart),OCEAN GOING FREIGHTER,Freight,Freight,47,"Zeeschip Z2, 90 < L<=130",commercial,Fleet mix scenario only has this type as seagoing
:52,,52,:  ZEE-BULKCARRIER (Zeevaart),OCEAN GOING BULK CARRIER,Bulk,Bulk,47,"Zeeschip Z2, 90 < L<=130",commercial,
:53,,53,:  ZEE-TANKER(GEENGAS) (Zeevaart),OCEAN GOING TANKER (NON GAS),Tank,Tank,47,"Zeeschip Z2, 90 < L<=130",commercial,
:54,,54,:  ZEE-GASTANKER (Zeevaart),OCEAN GOING GAS TANKER,Tank,Gas,47,"Zeeschip Z2, 90 < L<=130",commercial,
:60,,60,":  ZEESLEEPBOOT,BEVOORRADINGSSCHIPLOSVAREND (Zeevaart)",,,,47,"Zeeschip Z2, 90 < L<=130",commercial,
:61,,61,":  ZEESLEEPBOOT,BEVOORRADINGSSCHIPSLEPEND (Zeevaart)",,,,47,"Zeeschip Z2, 90 < L<=130",commercial,
:62,,62,:  VISSERSVAARTUIG (Zeevaart),,,,47,"Zeeschip Z2, 90 < L<=130",commercial,
:64,,64,:  PASSAGIERSSCHIP (Zeevaart),,,,37,passagiersschip binnnenvaart,commercial,Assumed to have similar characteristics with commerical passenger ship
:65,,65,:  ZEEGAANDDIENSTVAARTUIG (Zeevaart),,,,47,"Zeeschip Z2, 90 < L<=130",commercial,
:66,,66,:  ZEEGAANDWERKVAARTUIG (Zeevaart),,,,47,"Zeeschip Z2, 90 < L<=130",commercial,
:68,,68,:  MARINEVAARTUIG (Zeevaart),,,,47,"Zeeschip Z2, 90 < L<=130",commercial,
:69,,69,:  OVERIGEZEEGAANDEVAARTUIGENENDRIJVENDEOBJECTEN (Zeevaart),,,,47,"Zeeschip Z2, 90 < L<=130",commercial,
:80,,80,:  MOTORJACHT (Recreatievaart),,,,44,motorjacht groot,recreational,
:82,,82,:  ZEILJACHTVARENDOPHULPMOTOR (Recreatievaart),,,,43,zeiljacht middel,recreational,Assumed all sail jachts were middle
:83,,83,:  ZEILENDJACHT (Recreatievaart),,,,43,zeiljacht middel,recreational,
:84,,84,:  VAARTUIGVOORSPORTVISSERS (Recreatievaart),,,,44,motorjacht groot,recreational,
:85,,85,:  GROTERECREATIEVAART>20M (Recreatievaart),RECREATION SAIL/MOTORSHIPS >20M,,,44,motorjacht groot,recreational,
:89,,89,:  OVERIGERECREATIEVAARTUIGEN (Recreatievaart),"Roeiboot, kano, rubberboot. Zeilplank, ed.",,,44,motorjacht groot,recreational,
:90,,90,:  SNELSCHIPDRAAGVLEUGELBOOTSNELCATAMARANSNEL (Zeevaart),,,,37,passagiersschip binnnenvaart,commercial,Assumed to have similar characteristics with commerical passenger ship
B01:21,B01,21,Duwstel:  DUWBOOTMET1VRACHTDUWBAK (Binnenvaart),PUSHTOW 1 CARGO BARGE,Cargo,Cargo,24,BO1 duwstel,commercial,
B01:22,B01,22,Duwstel:  DUWBOOTMET2VRACHTDUWBAKKEN (Binnenvaart),PUSHTOW 2 CARGO BARGES,Cargo,Cargo,24,BO1 duwstel,commercial,
B02:15,B02,15,Duwstel:  VRACHTDUWBAK(VDB) (Binnenvaart),FREIGHT BARGE,Freight,Freight,25,BO2 duwstel,commercial,
B02:16,B02,16,Duwstel:  TANKDUWBAK(TDB) (Binnenvaart),TANKBARGE,Tank,Tank,25,BO2 duwstel,commercial,
B02:21,B02,21,Duwstel:  DUWBOOTMET1VRACHTDUWBAK (Binnenvaart),PUSHTOW 1 CARGO BARGE,Cargo,Cargo,25,BO2 duwstel,commercial,
B02:22,B02,22,Duwstel:  DUWBOOTMET2VRACHTDUWBAKKEN (Binnenvaart),PUSHTOW 2 CARGO BARGES,Cargo,Cargo,25,BO2 duwstel,commercial,
B03:16,B03,16,Duwstel:  TANKDUWBAK(TDB) (Binnenvaart),TANKBARGE,Tank,Tank,26,BO3 duwstel,commercial,
B03:21,B03,21,Duwstel:  DUWBOOTMET1VRACHTDUWBAK (Binnenvaart),PUSHTOW 1 CARGO BARGE,Cargo,Cargo,26,BO3 duwstel,commercial,
B03:22,B03,22,Duwstel:  DUWBOOTMET2VRACHTDUWBAKKEN (Binnenvaart),PUSHTOW 2 CARGO BARGES,Cargo,Cargo,26,BO3 duwstel,commercial,
B03:31,B03,31,Duwstel:  DUWBOOT1(G)TDB (Binnenvaart),PUSHTOW 1 (G)TANKBARGE,Tank,Tank,26,BO3 duwstel,commercial,
B04:15,B04,15,Duwstel:  VRACHTDUWBAK(VDB) (Binnenvaart),FREIGHT BARGE,Freight,Freight,27,BO4 duwstel,commercial,
B04:16,B04,16,Duwstel:  TANKDUWBAK(TDB) (Binnenvaart),TANKBARGE,Tank,Tank,27,BO4 duwstel,commercial,
B04:21,B04,21,Duwstel:  DUWBOOTMET1VRACHTDUWBAK (Binnenvaart),PUSHTOW 1 CARGO BARGE,Cargo,Cargo,27,BO4 duwstel,commercial,
B04:22,B04,22,Duwstel:  DUWBOOTMET2VRACHTDUWBAKKEN (Binnenvaart),PUSHTOW 2 CARGO BARGES,Cargo,Cargo,27,BO4 duwstel,commercial,
B04:23,B04,23,Duwstel:  DUWBOOTMET3VRACHTDUWBAKKEN (Binnenvaart),PUSHTOW 3 CARGO BARGES,Cargo,Cargo,27,BO4 duwstel,commercial,
B04:31,B04,31,Duwstel:  DUWBOOT1(G)TDB (Binnenvaart),PUSHTOW 1 (G)TANKBARGE,Tank,Tank,27,BO4 duwstel,commercial,
B04:32,B04,32,Duwstel:  DUWBOOT2DB-1(G)TDB (Binnenvaart),PUSHTOW 2 BARGES - 1 (G)TANKBARGE,Tank,Tank,27,BO4 duwstel,commercial,
BI:15,BI,15,Europa I duwstel:  VRACHTDUWBAK(VDB) (Binnenvaart),FREIGHT BARGE,Freight,Freight,28,BI-1 duwstel Europa I (IV),commercial,
BI:16,BI,16,Europa I duwstel:  TANKDUWBAK(TDB) (Binnenvaart),TANKBARGE,Tank,Tank,28,BI-1 duwstel Europa I (IV),commercial,
BI:18,BI,18,Europa I duwstel:  GAS-TANKDUWBAK(GTDB) (Binnenvaart),GAS TANKBARGE,Tank,Gas,28,BI-1 duwstel Europa I (IV),commercial,
BI:21,BI,21,Europa I duwstel:  DUWBOOTMET1VRACHTDUWBAK (Binnenvaart),PUSHTOW 1 CARGO BARGE,Cargo,Cargo,28,BI-1 duwstel Europa I (IV),commercial,
BI:22,BI,22,Europa I duwstel:  DUWBOOTMET2VRACHTDUWBAKKEN (Binnenvaart),PUSHTOW 2 CARGO BARGES,Cargo,Cargo,28,BI-1 duwstel Europa I (IV),commercial,
BI:23,BI,23,Europa I duwstel:  DUWBOOTMET3VRACHTDUWBAKKEN (Binnenvaart),PUSHTOW 3 CARGO BARGES,Cargo,Cargo,28,BI-1 duwstel Europa I (IV),commercial,
BI:31,BI,31,Europa I duwstel:  DUWBOOT1(G)TDB (Binnenvaart),PUSHTOW 1 (G)TANKBARGE,Tank,Tank,28,BI-1 duwstel Europa I (IV),commercial,
BI:32,BI,32,Europa I duwstel:  DUWBOOT2DB-1(G)TDB (Binnenvaart),PUSHTOW 2 BARGES - 1 (G)TANKBARGE,Tank,Tank,28,BI-1 duwstel Europa I (IV),commercial,
