ID,Ship Class,Ship Type,Chamber,Min Speed (km/h),Max Speed (km/h),Min Speed Loaded (km/h),Max Speed Loaded (km/h),UKC (m),Height Margin (m),Block Coefficient (%),Engine Power (kW),Mean Draft Empty (m),Residual Resistance Coefficient,Slowsteaming (%),DWT,LOA,Width,Area
1,M0 (overig),MotorVessel,commercial,10,12,8,10,0.3,0.1,80,150,0.5,0.2,80,160,28,4.2,117.6
2,M1 (Spits) (CEMT I),MotorVessel,commercial,10,15,8,12,0.3,0.1,80,180,0.5,0.2,80,373,39.76,5.06,201.1856
3,M2 (Kempenaar) (CEMT II),MotorVessel,commercial,10,17,8,14,0.3,0.1,80,280,0.5,0.2,80,542,52.26,6.42,335.5092
4,M2-Container (Kempenaar) 2-laags,MotorVessel,commercial,10,17,8,14,0.3,0.1,80,280,0.6,0.2,80,650,55,6.6,363
5,M3 (Hagenaar) (CEMT III),MotorVessel,commercial,10,17,8,14,0.3,0.1,80,350,0.6,0.2,80,732,62.21,7.15,444.8015
6,M4 (Dortmund-Emskan) (CEMT III),MotorVessel,commercial,12,17,8,15,0.3,0.1,80,450,0.6,0.2,80,895,67.02,8.02,537.5004
7,M5 (Verlengde Dortmunder) (CEMT III),MotorVessel,commercial,12,19,9,16,0.3,0.1,80,650,0.6,0.2,80,1148,80.56,8.18,658.9808
8,M6 (Rijn-Hernekan) (CEMT IV),MotorVessel,commercial,12,19,9,16,0.3,0.1,80,750,0.7,0.2,80,1362,80.56,9.23,743.5688
9,M6-Container (Rijn-Herne) 3-laags,MotorVessel,commercial,12,19,9,16,0.3,0.1,80,750,0.7,0.2,80,1400,85,9.5,807.5
10,M7 (Verlengd Rijn-Hernekan) (CEMT IV),MotorVessel,commercial,12,19,9,16,0.3,0.1,80,880,0.7,0.15,80,1910,100.87,9.41,949.1867
11,M8 (Groot Rijnschip) (CEMT V),MotorVessel,commercial,12,20,10,17,0.3,0.1,80,1250,0.7,0.15,80,2831,106,11.32,1199.92
12,M8-Container (Groot Rijn) 4-laags,MotorVessel,commercial,12,20,10,17,0.3,0.1,80,1250,0.7,0.15,80,3000,110,11.4,1254
13,M9 (Verlengd Groot Rijnschip),MotorVessel,commercial,12,20,10,17,0.3,0.1,80,1500,0.8,0.15,80,3699,133,11.45,1522.85
14,M10 (Breed Groot Rijnschip),MotorVessel,commercial,12,20,10,17,0.3,0.1,80,2000,0.8,0.15,80,3980,107,13.52,1446.64
15,M11 (Verlengd Breed Groot Rijnschip),MotorVessel,commercial,12,20,10,17,0.3,0.1,80,2200,0.8,0.15,80,4825,134,13.8,1849.2
16,M12 (Rijnmax),MotorVessel,commercial,12,20,10,17,0.3,0.1,80,2400,0.8,0.15,80,6056,134,16.43,2201.62
17,"C1b, koppelverband, 2 spitsen breed",VesselConvoy,commercial,6,12,6,8,0.3,0.1,80,1500,0.5,0.2,80,774,46,10.28,472.88
18,"C1-l, koppelverband, 2 spitsen (lang) (I)",VesselConvoy,commercial,10,15,8,12,0.3,0.1,80,1500,0.5,0.2,80,753,79,5.07,400.53
19,"C2b, koppelverband, IV + Eur I breed",VesselConvoy,commercial,8,15,6,12,0.3,0.1,80,1500,0.6,0.2,80,2844,89,18.2,1619.8
20,"C2l, koppelverband, IV+ eur 1 lang(IV B)",VesselConvoy,commercial,6,18,6,12,0.3,0.1,80,1500,0.6,0.2,80,2931,170,9.16,1557.2
21,"C3b, koppelverband, Va + Eur II breed",VesselConvoy,commercial,8,15,7,12,0.3,0.1,80,2200,0.6,0.2,80,4500,105,22.98,2412.9
22,"C3l, koppelverband, Va + Eur II lang",VesselConvoy,commercial,6,12,7,12,0.3,0.1,80,2200,0.6,0.2,80,4500,178,11.49,2045.22
23,"C4, koppelverband, Va + 3xEur II (*)",VesselConvoy,commercial,10,16,8,12,0.3,0.1,80,2400,0.5,0.2,80,8012,182,22.98,4182.36
24,BO1 duwstel,PushTow,commercial,8,12,7,10,0.3,0.1,80,300,0.4,0.4,80,432,66,5.06,333.96
25,BO2 duwstel,PushTow,commercial,8,12,7,10,0.3,0.1,80,400,0.4,0.4,80,777,63,6.41,403.83
26,BO3 duwstel,PushTow,commercial,8,12,7,10,0.3,0.1,80,400,0.4,0.4,80,849,83,7.42,615.86
27,BO4 duwstel,PushTow,commercial,8,12,7,10,0.3,0.1,80,500,0.4,0.4,80,1098,89,8.11,721.79
28,BI-1 duwstel Europa I (IV),PushTow,commercial,8,12,6,9,0.3,0.1,80,900,0.4,0.4,80,1320,91,9.39,854.49
29,BII-1 duwstel Europa II (V),PushTow,commercial,8,15,8,14,0.3,0.1,80,1500,0.4,0.4,80,2164,101,11.49,1160.49
30,BIIa-1 duwstel Europa IIa (V),PushTow,commercial,10,15,8,14,0.3,0.1,80,1500,0.4,0.4,80,2802,101,11.49,1160.49
31,BIIL-1 duwstel Europa II Lang(V),PushTow,commercial,8,15,8,14,0.3,0.1,80,1500,0.4,0.4,80,3522,129,11.49,1482.21
32,"BII-2b duwstel Eur II, 2b breed",PushTow,commercial,8,12,7,10,0.3,0.1,80,2000,0.4,0.4,80,5211,110,22.98,2527.8
33,BII-2l 2 baks duwstel Europa II (lange form),PushTow,commercial,8,15,8,14,0.3,0.1,80,2000,0.4,0.4,80,5211,180,11.49,2068.2
34,BII-4 duwstel Eur II 4b,PushTow,commercial,8,12,7,10,0.3,0.1,80,3500,0.4,0.4,80,10422,189,22.98,4343.22
