,Arrival Pattern,Day Nr,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Commercial-N,1,630,572,550,575,535,686,898,1163,1335,1350,1394,1384,1486,1612,1795,1922,2014,2073,2045,2016,1839,1759,1548,1311
1,Commercial-N,2,1117,943,866,817,845,896,1388,1633,1811,1817,1893,1857,1871,2033,2150,2145,2070,2248,2163,2054,1997,1742,1543,1422
2,Commercial-N,3,1241,1030,930,783,906,1058,1374,1758,1935,1952,1945,2025,2173,1930,2138,2212,2221,2248,2288,2048,1913,1784,1547,1224
3,Commercial-N,4,1137,963,948,792,929,977,1400,1688,1956,1981,1956,2056,2075,2030,2062,2038,2169,2170,2173,2034,1873,1631,1513,1363
4,Commercial-N,5,1121,1008,883,758,876,1004,1434,1658,1854,1928,1993,1838,2006,1961,2008,2122,2182,2027,2013,1899,1801,1677,1464,1253
5,Commercial-N,6,1019,990,851,768,811,958,1311,1721,1851,1836,1998,1858,1855,1892,1819,1793,1686,1485,1311,1212,1035,924,830,673
6,Commercial-N,7,654,612,556,511,538,582,775,972,1179,1351,1314,1344,1440,1428,1366,1262,1101,1143,1032,958,891,774,709,631
7,Commercial-S,1,719,596,711,784,781,907,1306,1473,1582,1748,1859,2087,2100,2132,2154,2280,2280,2343,2298,2051,1928,1632,1387,1097
8,Commercial-S,2,903,832,755,692,680,939,1203,1570,1660,1825,1985,2097,2126,2075,2279,2245,2336,2412,2279,2189,1936,1584,1376,1072
9,Commercial-S,3,892,785,721,723,755,890,1298,1579,1752,1816,2002,1988,2131,2312,2307,2302,2501,2456,2323,2059,2139,1707,1474,1176
10,Commercial-S,4,967,913,863,798,852,1050,1274,1668,1766,1861,1935,2127,2060,2123,2292,2323,2289,2287,2298,2110,1921,1686,1430,1120
11,Commercial-S,5,1013,836,799,817,855,973,1276,1455,1559,1668,1731,1828,1784,1826,2070,2068,2108,2161,1983,1847,1724,1397,1179,932
12,Commercial-S,6,836,673,661,726,724,844,1232,1498,1725,1726,1867,2034,1931,1902,1786,1714,1688,1667,1500,1330,1158,971,768,597
13,Commercial-S,7,616,591,574,531,630,819,1024,1374,1500,1643,1874,1852,1799,1780,1735,1736,1752,1668,1413,1193,1051,956,803,752
