,276
BI-1 duwstel Europa I (IV) 1,2.3191801334385476
BI-1 duwstel Europa I (IV) 3,1.5073931862310361
"Zeeschip Z2, 90 < L<=130 1",1.4252138185922747
"Zeeschip Z2, 90 < L<=130 3",5.280517301070502
M4 (Dortmund-Emskan) (CEMT III) 1,19.701148589311146
M4 (Dortmund-Emskan) (CEMT III) 3,22.204403317393904
BII-4 duwstel Eur II 4b 1,1.7468363842874954
BII-4 duwstel Eur II 4b 3,2.087882567233266
M9 (Verlengd Groot Rijnschip) 1,62.091166815724
M9 (Verlengd Groot Rijnschip) 3,64.69803646311237
M8-Container (Groot Rijn) 4-laags 1,1.2700781372710581
M8-Container (Groot Rijn) 4-laags 3,1.0369227657333768
M5 (Verlengde Dortmunder) (CEMT III) 1,35.35140370552769
M5 (Verlengde Dortmunder) (CEMT III) 3,38.64331304650116
M8 (Groot Rijnschip) (CEMT V) 1,318.3950804029894
M8 (Groot Rijnschip) (CEMT V) 3,325.3110911151362
M6 (Rijn-Hernekan) (CEMT IV) 1,127.28842357861114
M6 (Rijn-Hernekan) (CEMT IV) 3,136.5103924593521
M7 (Verlengd Rijn-Hernekan) (CEMT IV) 1,22.71703890218101
M7 (Verlengd Rijn-Hernekan) (CEMT IV) 3,22.450543344008995
M3 (Hagenaar) (CEMT III) 1,22.676804658678794
M3 (Hagenaar) (CEMT III) 3,23.84029102187473
M0 (overig) 1,0.9479035353642883
M0 (overig) 3,0.8445005223524067
"BII-2b duwstel Eur II, 2b breed 1",6.488386846122748
"BII-2b duwstel Eur II, 2b breed 3",6.705757958458556
M1 (Spits) (CEMT I) 1,4.248320882261071
M1 (Spits) (CEMT I) 3,5.035605803032012
BII-1 duwstel Europa II (V) 1,6.601485765021608
BII-1 duwstel Europa II (V) 3,7.0975620914500475
M10 (Breed Groot Rijnschip) 1,30.386527860125618
M10 (Breed Groot Rijnschip) 3,30.071937977503726
M2-Container (Kempenaar) 2-laags 1,2.9802586481168907e-21
M2-Container (Kempenaar) 2-laags 3,0.0
M11 (Verlengd Breed Groot Rijnschip) 1,22.478648762273
M11 (Verlengd Breed Groot Rijnschip) 3,23.297711510484756
sleepboot 1,16.446742519469325
sleepboot 3,15.456622909775623
M12 (Rijnmax) 1,57.657892344427275
M12 (Rijnmax) 3,57.36335647394141
passagiersschip binnnenvaart 1,19.84278572496412
passagiersschip binnnenvaart 3,16.345719807247438
M2 (Kempenaar) (CEMT II) 1,0.0
M2 (Kempenaar) (CEMT II) 3,28.68567333350408
M6-Container (Rijn-Herne) 3-laags 1,0.11062880597149247
M6-Container (Rijn-Herne) 3-laags 3,0.284846332693361
"C2l, koppelverband, IV+ eur 1 lang(IV B) 1",2.0246969180026753
"C2l, koppelverband, IV+ eur 1 lang(IV B) 3",2.425495000957469
"C2b, koppelverband, IV + Eur I breed 1",0.4876801590175984
"C2b, koppelverband, IV + Eur I breed 3",0.3690031870575362
BII-6l duwstel Eur II 6b lang 1,0.1720161773696818
BII-6l duwstel Eur II 6b lang 3,0.03804656767966406
BIIL-1 duwstel Europa II Lang(V) 1,8.074691946450493
BIIL-1 duwstel Europa II Lang(V) 3,7.6456604962039725
BO1 duwstel 1,0.0
BO1 duwstel 3,0.061592529000020914
BIIa-1 duwstel Europa IIa (V) 1,3.7148054208413437
BIIa-1 duwstel Europa IIa (V) 3,3.560307676576358
BO2 duwstel 1,0.13218836846071216
BO2 duwstel 3,0.19605020175658575
BO3 duwstel 1,0.01868305895324403
BO3 duwstel 3,0.029470329091904696
BO4 duwstel 1,0.6628353108460904
BO4 duwstel 3,0.8202402553204741
"C1-l, koppelverband, 2 spitsen (lang) (I) 1",0.1867712000004142
"C1-l, koppelverband, 2 spitsen (lang) (I) 3",0.18574155454952418
BII-2l 2 baks duwstel Europa II (lange form) 1,0.7035729095127994
BII-2l 2 baks duwstel Europa II (lange form) 3,1.2461929698439342
"C4, koppelverband, Va + 3xEur II (*) 1",4.890954438691487
"C4, koppelverband, Va + 3xEur II (*) 3",5.246265407301758
"C3b, koppelverband, Va + Eur II breed 1",11.895451109859586
"C3b, koppelverband, Va + Eur II breed 3",10.426194865749714
"C1b, koppelverband, 2 spitsen breed 1",0.015598674565680787
"C1b, koppelverband, 2 spitsen breed 3",0.08194060040855758
"C3l, koppelverband, Va + Eur II lang 1",16.97984366226585
"C3l, koppelverband, Va + Eur II lang 3",19.10708248362163
