,276
BI-1 duwstel Europa I (IV) 1,2.9730185717229904
BI-1 duwstel Europa I (IV) 3,1.9323673366022784
"Zeeschip Z2, 90 < L<=130 1",1.8270194239154596
"Zeeschip Z2, 90 < L<=130 3",6.7692352905381385
M4 (Dortmund-Emskan) (CEMT III) 1,25.25542530991513
M4 (Dortmund-Emskan) (CEMT III) 3,28.46441399045766
BII-4 duwstel Eur II 4b 1,2.2393159278008166
BII-4 duwstel Eur II 4b 3,2.676512082206336
M9 (Verlengd Groot Rijnschip) 1,79.5963148448508
M9 (Verlengd Groot Rijnschip) 3,82.93813024073192
M8-Container (Groot Rijn) 4-laags 1,1.628146876218596
M8-Container (Groot Rijn) 4-laags 3,1.3292588167340746
M5 (Verlengde Dortmunder) (CEMT III) 1,45.31790275263483
M5 (Verlengde Dortmunder) (CEMT III) 3,49.537888714929146
M8 (Groot Rijnschip) (CEMT V) 1,408.1591048211713
M8 (Groot Rijnschip) (CEMT V) 3,417.02492252674216
M6 (Rijn-Hernekan) (CEMT IV) 1,163.1744088388126
M6 (Rijn-Hernekan) (CEMT IV) 3,174.99629552841796
M7 (Verlengd Rijn-Hernekan) (CEMT IV) 1,29.12157515363064
M7 (Verlengd Rijn-Hernekan) (CEMT IV) 3,28.779947423941362
M3 (Hagenaar) (CEMT III) 1,29.069997808936005
M3 (Hagenaar) (CEMT III) 3,30.561501860671456
M0 (overig) 1,1.2151427024607975
M0 (overig) 3,1.082587635424827
"BII-2b duwstel Eur II, 2b breed 1",8.317635321170808
"BII-2b duwstel Eur II, 2b breed 3",8.596289119818298
M1 (Spits) (CEMT I) 1,5.446035303378661
M1 (Spits) (CEMT I) 3,6.45527674044597
BII-1 duwstel Europa II (V) 1,8.462619827324527
BII-1 duwstel Europa II (V) 3,9.098553237670355
M10 (Breed Groot Rijnschip) 1,38.95329662228038
M10 (Breed Groot Rijnschip) 3,38.550015501497256
M2-Container (Kempenaar) 2-laags 1,3.820472666887109e-21
M2-Container (Kempenaar) 2-laags 3,0.0
M11 (Verlengd Breed Groot Rijnschip) 1,28.815976505624224
M11 (Verlengd Breed Groot Rijnschip) 3,29.86595478317597
sleepboot 1,21.083515786344634
sleepboot 3,19.814255177647507
M12 (Rijnmax) 1,73.9131826264108
M12 (Rijnmax) 3,73.53560927608429
passagiersschip binnnenvaart 1,25.436993713624073
passagiersschip binnnenvaart 3,20.954012090072368
M2 (Kempenaar) (CEMT II) 1,0.0
M2 (Kempenaar) (CEMT II) 3,36.77292605833128
M6-Container (Rijn-Herne) 3-laags 1,0.14181800282720533
M6-Container (Rijn-Herne) 3-laags 3,0.36515207463809857
"C2l, koppelverband, IV+ eur 1 lang(IV B) 1",2.5955127213027045
"C2l, koppelverband, IV+ eur 1 lang(IV B) 3",3.1093064223417306
"C2b, koppelverband, IV + Eur I breed 1",0.6251701404799739
"C2b, koppelverband, IV + Eur I breed 3",0.47303498004722666
BII-6l duwstel Eur II 6b lang 1,0.2205121036452734
BII-6l duwstel Eur II 6b lang 3,0.048772904989596036
BIIL-1 duwstel Europa II Lang(V) 1,10.351161935035385
BIIL-1 duwstel Europa II Lang(V) 3,9.801175131058672
BO1 duwstel 1,0.0
BO1 duwstel 3,0.07895709779341345
BIIa-1 duwstel Europa IIa (V) 1,4.762107672129728
BIIa-1 duwstel Europa IIa (V) 3,4.564052912878195
BO2 duwstel 1,0.16945577824383015
BO2 duwstel 3,0.25132195744889646
BO3 duwstel 1,0.023950309181993434
BO3 duwstel 3,0.03777879710236945
BO4 duwstel 1,0.8497061788027017
BO4 duwstel 3,1.0514877551693176
"C1-l, koppelverband, 2 spitsen (lang) (I) 1",0.23942695880243656
"C1-l, koppelverband, 2 spitsen (lang) (I) 3",0.23810702896876407
BII-2l 2 baks duwstel Europa II (lange form) 1,0.9019287878434034
BII-2l 2 baks duwstel Europa II (lange form) 3,1.5975278461028684
"C4, koppelverband, Va + 3xEur II (*) 1",6.2698443169749085
"C4, koppelverband, Va + 3xEur II (*) 3",6.725326878758076
"C3b, koppelverband, Va + Eur II breed 1",15.249094522123503
"C3b, koppelverband, Va + Eur II breed 3",13.365615943906215
"C1b, koppelverband, 2 spitsen breed 1",0.019996354965870468
"C1b, koppelverband, 2 spitsen breed 3",0.105041830636753
"C3l, koppelverband, Va + Eur II lang 1",21.766912291553105
"C3l, koppelverband, Va + Eur II lang 3",24.493876200563513
